Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Excel,Success,12,4,2018-01-29 11:49:50 +0530,2018-01-29 12:14:41 +0530,0:00:00
Untitled,Success,35,3,2018-01-29 14:50:06 +0530,2018-01-29 15:59:16 +0530,0:00:00
Masterscript,Success,3,1,2018-01-29 12:11:28 +0530,2018-01-29 12:15:08 +0530,0:00:00
